met.x	met.y	rxn
C00229	C05223	R04726
C00229	C05745	R04952
C00229	C05749	R04957
C00229	C05752	R04960
C00229	C05755	R04963
C00229	C05761	R04968
C00229	C05764	R07762
C00229	C05752	R07766
C00229	C16239	R07769
C00229	C05752	R08157
C00229	C05755	R08158
C00229	C19673	R10115
C00229	C20375	R10119
C00231	C00310	R01639
C00232	C00334	R01648
C00233	C15974	R07601
C00234	C05928	R01654
C00234	C00445	R01655
C00235	C04432	R01122
C00236	C01159	R01662
C00242	C00385	R01676
C00242	C00330	R01969
C00242	C00387	R02147
C00245	C00506	R01682
C00245	C01959	R01686
C00245	C05844	R01687
C00245	C05122	R03720
C00245	C05465	R08745
C00247	C01507	R07145
C00248	C00579	R01698
C00249	C05764	R01706
C00249	C17202	R08602
C00250	C00847	R01709
C00250	C00534	R01710
C00250	C00314	R01711
C00253	C13051	R00119
C00253	C01185	R01724
C00253	C05841	R02295
C00253	C13051	R10632
C00255	C01007	R05707
C00256	C03451	R01736
C00258	C00577	R01752
C00259	C00532	R01758
C00259	C00532	R01759
C00262	C00385	R01768
C00262	C00385	R01769
C00262	C00294	R01863
C00262	C05512	R02748
C00264	C00640	R01778
C00264	C01656	R01780
C00031	C00208	R00028
C00031	C00089	R00802
C00031	C00243	R01678
C00031	C00092	R01786
C00031	C00794	R01787
C00031	C00092	R01788
C00031	C00369	R01790
C00031	C00721	R01791
C00031	C00369	R02109
C00031	C00092	R09085
C00268	C00272	R01793
C00268	C00272	R01794
C00268	C15522	R04734
C00269	C00416	R01799
C00269	C03892	R01801
C00269	C01194	R01802
C00270	C03410	R01803
C00270	C00645	R01804
C00270	C06241	R01805
C00270	C00645	R01811
C00270	C04730	R03491
C00270	C06128	R04018
C00270	C04884	R04634
C00270	C04927	R04650
C00270	C06139	R05115
C00270	C06140	R05117
C00270	C04015	R08600
C00270	C04017	R08601
C00272	C03684	R08208
C00275	C00636	R01818
C00279	C05382	R01827
C00279	C00447	R01829
C00279	C05382	R08575
C00280	C03772	R01835
C00280	C00535	R01836
C00280	C01227	R01837
C00280	C00535	R01838
C00280	C05290	R01840
C00280	C01176	R01841
C00280	C05296	R01842
C00280	C05284	R02725
C00280	C01176	R08518
C00280	C20252	R09955
C00280	C00674	R10242
C00280	C00468	R10515
C00288	C00683	R01859
C00288	C03231	R04138
C00292	C06011	R01861
C00292	C07565	R02387
C00295	C00337	R01868
C00295	C01103	R01870
C00299	C00475	R01878
C00300	C02305	R01881
C00300	C00581	R01883
C00301	C01201	R01886
C00301	C16011	R07626
C00301	C13050	R10630
C00025	C00026	R00896
C00307	C00588	R01890
C00307	C00588	R09538
C00310	C00379	R01896
C00311	C00417	R01900
C00312	C00379	R01904
C00314	C00627	R01909
C00314	C00627	R01911
C00315	C00750	R02869
C00315	C02567	R03899
C00315	C00986	R05329
C00315	C00750	R09076
C00318	C02990	R01923
C00318	C02838	R03779
C00319	C06124	R01926
C00319	C06124	R06521
C00322	C00527	R01933
C00322	C00956	R01939
C00325	C02985	R01951
C00325	C01222	R05692
C00325	C14830	R07060
C00327	C03406	R01954
C00327	C03626	R02513
C00328	C01252	R01956
C00328	C02700	R01959
C00328	C03227	R01960
C00329	C00352	R01961
C00329	C01075	R01963
C00329	C00352	R01964
C00329	C00352	R01965
C00332	C01144	R01975
C00332	C00356	R01978
C00334	C00555	R01986
C00334	C01035	R01989
C00334	C00884	R01991
C00334	C00884	R01992
C00334	C00555	R02549
C00337	C00438	R01993
C00339	C02434	R01999
C00342	C00343	R02016
C00344	C05980	R02030
C00345	C01236	R02035
C00346	C00570	R02038
C00346	C01120	R02464
C00346	C06124	R06516
C00349	C01188	R02047
C00349	C01205	R02050
C00350	C00416	R02051
C00350	C04438	R02053
C00350	C05973	R02054
C00350	C02737	R02055
C00350	C01241	R02056
C00350	C00641	R02057
C00350	C04438	R04480
C00350	C02737	R07376
C00352	C00357	R02058
C00352	C00357	R02059
C00355	C00822	R00045
C00355	C03758	R02080
C00356	C00418	R02082
C00356	C03761	R02084
C00356	C03231	R02085
C00357	C04501	R08193
C00366	C00385	R02103
C00366	C11821	R02106
C00366	C00385	R02107
C00370	C01958	R02114
C00370	C01958	R02115
C00376	C02094	R00032
C00376	C00777	R02123
C00376	C00473	R02124
C00376	C00777	R02125
