rxn	gene
R09425	53973
R09425	404195
R09425	71754
R09425	69888
R09425	320997
R09425	56448
R09425	545123
R09425	106648
R09425	208285
R09425	100066
R09425	13088
R09425	72303
R09425	13110
R09425	665095
R09425	70101
R09425	631304
R09425	380997
R09425	13109
R09425	76279
R09425	13105
R09425	100041375
R09425	13090
R09425	13087
R09425	337924
R09425	13076
R09425	56388
R09425	74134
R09425	433247
R09425	13098
R09425	243881
R09425	13107
R09425	13078
R09425	13085
R09425	13112
R09425	107141
R09425	13096
R09425	13120
R09425	226105
R09425	13114
R09425	242546
R09425	13101
R09425	13077
R09425	223706
R09425	81906
R09425	230459
R09425	13097
R09425	74519
R09425	13095
R09425	13113
R09425	13089
R09425	13094
R09425	13099
R09425	226143
R09425	13086
R07042	72082
R07042	53973
R07042	404195
R07042	71754
R07042	69888
R07042	320997
R07042	56448
R07042	545123
R07042	106648
R07042	208285
R07042	100066
R07042	13088
R07042	72303
R07042	13110
R07042	665095
R07042	70101
R07042	631304
R07042	380997
R07042	13109
R07042	76279
R07042	13105
R07042	100041375
R07042	13090
R07042	13087
R07042	337924
R07042	13076
R07042	56388
R07042	74134
R07042	433247
R07042	13098
R07042	243881
R07042	13107
R07042	13078
R07042	13085
R07042	13112
R07042	107141
R07042	13096
R07042	13120
R07042	226105
R07042	13114
R07042	242546
R07042	13101
R07042	13077
R07042	223706
R07042	81906
R07042	230459
R07042	13097
R07042	74519
R07042	13095
R07042	13113
R07042	13089
R07042	13094
R07042	13099
R07042	226143
R07042	13086
R08286	72082
R08286	53973
R08286	404195
R08286	71754
R08286	69888
R08286	320997
R08286	56448
R08286	545123
R08286	106648
R08286	208285
R08286	100066
R08286	13088
R08286	72303
R08286	13110
R08286	665095
R08286	70101
R08286	631304
R08286	380997
R08286	13109
R08286	76279
R08286	13105
R08286	100041375
R08286	13090
R08286	13087
R08286	337924
R08286	13076
R08286	56388
R08286	74134
R08286	433247
R08286	13098
R08286	243881
R08286	13107
R08286	13078
R08286	13085
R08286	13112
R08286	107141
R08286	13096
R08286	13120
R08286	226105
R08286	13114
R08286	242546
R08286	13101
R08286	13077
R08286	223706
R08286	81906
R08286	230459
R08286	13097
R08286	74519
R08286	13095
R08286	13113
R08286	13089
R08286	13094
R08286	13099
R08286	226143
R08286	13086
R03408	72082
R03408	53973
R03408	404195
R03408	71754
R03408	69888
R03408	320997
R03408	56448
R03408	545123
R03408	106648
R03408	208285
R03408	100066
R03408	13088
R03408	72303
R03408	13110
R03408	665095
R03408	70101
R03408	631304
R03408	380997
R03408	13109
R03408	76279
R03408	13105
R03408	100041375
R03408	13090
R03408	13087
R03408	337924
R03408	13076
R03408	56388
R03408	74134
R03408	433247
R03408	13098
R03408	243881
R03408	13107
R03408	13078
R03408	13085
R03408	13112
R03408	107141
R03408	13096
R03408	13120
R03408	226105
R03408	13114
R03408	242546
R03408	13101
R03408	13077
R03408	223706
R03408	81906
R03408	230459
R03408	13097
R03408	74519
R03408	13095
R03408	13113
R03408	13089
R03408	13094
R03408	13099
R03408	226143
R03408	13086
R07055	72082
R07055	53973
R07055	404195
R07055	71754
R07055	69888
R07055	320997
R07055	56448
R07055	545123
R07055	106648
R07055	208285
R07055	100066
R07055	13088
R07055	72303
R07055	13110
R07055	665095
R07055	70101
R07055	631304
R07055	380997
R07055	13109
R07055	76279
R07055	13105
R07055	100041375
R07055	13090
R07055	13087
R07055	337924
R07055	13076
R07055	56388
R07055	74134
R07055	433247
R07055	13098
R07055	243881
R07055	13107
R07055	13078
R07055	13085
R07055	13112
R07055	107141
R07055	13096
R07055	13120
R07055	226105
R07055	13114
R07055	242546
R07055	13101
R07055	13077
R07055	223706
R07055	81906
R07055	230459
R07055	13097
R07055	74519
R07055	13095
R07055	13113
R07055	13089
R07055	13094
R07055	13099
R07055	226143
R07055	13086
R02356	72082
R02356	53973
R02356	404195
R02356	71754
R02356	69888
R02356	320997
R02356	56448
R02356	545123
R02356	106648
R02356	208285
R02356	100066
R02356	13088
R02356	72303
R02356	13110
R02356	665095
R02356	70101
R02356	631304
R02356	380997
R02356	13109
R02356	76279
R02356	13105
R02356	100041375
R02356	13090
R02356	13087
R02356	337924
R02356	13076
R02356	56388
R02356	74134
R02356	433247
R02356	13098
R02356	243881
R02356	13107
R02356	13078
R02356	13085
R02356	13112
R02356	107141
R02356	13096
R02356	13120
R02356	226105
R02356	13114
R02356	242546
R02356	13101
R02356	13077
R02356	223706
R02356	81906
R02356	230459
R02356	13097
R02356	74519
R02356	13095
R02356	13113
R02356	13089
R02356	13094
R02356	13099
R02356	226143
R02356	13086
R08345	72082
R08345	53973
R08345	404195
R08345	71754
R08345	69888
R08345	320997
R08345	56448
R08345	545123
R08345	106648
R08345	208285
R08345	100066
R08345	13088
R08345	72303
R08345	13110
R08345	665095
R08345	70101
R08345	631304
R08345	380997
R08345	13109
R08345	76279
R08345	13105
R08345	100041375
R08345	13090
R08345	13087
R08345	337924
R08345	13076
R08345	56388
R08345	74134
R08345	433247
R08345	13098
R08345	243881
R08345	13107
R08345	13078
R08345	13085
R08345	13112
R08345	107141
R08345	13096
R08345	13120
R08345	226105
R08345	13114
R08345	242546
R08345	13101
R08345	13077
R08345	223706
R08345	81906
R08345	230459
R08345	13097
R08345	74519
R08345	13095
R08345	13113
R08345	13089
R08345	13094
R08345	13099
R08345	226143
R08345	13086
R08344	72082
R08344	53973
R08344	404195
R08344	71754
R08344	69888
R08344	320997
R08344	56448
R08344	545123
R08344	106648
R08344	208285
R08344	100066
R08344	13088
R08344	72303
R08344	13110
R08344	665095
R08344	70101
R08344	631304
R08344	380997
R08344	13109
R08344	76279
R08344	13105
R08344	100041375
R08344	13090
R08344	13087
R08344	337924
R08344	13076
R08344	56388
R08344	74134
R08344	433247
R08344	13098
R08344	243881
R08344	13107
R08344	13078
R08344	13085
R08344	13112
R08344	107141
R08344	13096
R08344	13120
R08344	226105
R08344	13114
R08344	242546
R08344	13101
R08344	13077
R08344	223706
R08344	81906
R08344	230459
R08344	13097
R08344	74519
R08344	13095
R08344	13113
R08344	13089
R08344	13094
R08344	13099
R08344	226143
R08344	13086
R02354	72082
R02354	53973
R02354	404195
R02354	71754
R02354	69888
R02354	320997
R02354	56448
R02354	545123
R02354	106648
R02354	208285
R02354	100066
R02354	13088
R02354	72303
R02354	13110
R02354	665095
R02354	70101
R02354	631304
R02354	380997
R02354	13109
R02354	76279
R02354	13105
R02354	100041375
R02354	13090
R02354	13087
R02354	337924
R02354	13076
R02354	56388
R02354	74134
R02354	433247
R02354	13098
R02354	243881
R02354	13107
R02354	13078
R02354	13085
R02354	13112
R02354	107141
R02354	13096
R02354	13120
R02354	226105
R02354	13114
R02354	242546
R02354	13101
R02354	13077
R02354	223706
R02354	81906
R02354	230459
R02354	13097
R02354	74519
R02354	13095
R02354	13113
R02354	13089
R02354	13094
R02354	13099
R02354	226143
R02354	13086
R08392	72082
R08392	53973
R08392	404195
R08392	71754
R08392	69888
R08392	320997
R08392	56448
R08392	545123
R08392	106648
R08392	208285
R08392	100066
R08392	13088
R08392	72303
R08392	13110
R08392	665095
R08392	70101
R08392	631304
R08392	380997
R08392	13109
R08392	76279
R08392	13105
R08392	100041375
R08392	13090
R08392	13087
R08392	337924
R08392	13076
R08392	56388
R08392	74134
R08392	433247
R08392	13098
R08392	243881
R08392	13107
