ID	symbol	pval	padj	log2FC	baseMean	logPval
20302	Ccl3	0.102030036183621	0.498702322797856	1.16852624485526	67.5091381075567	-3.29293417137475
229595	Adamtsl4	0.10214119024587	0.498822720187613	Inf	9.1927917999167	-3.29136331897769
229474	Fhdc1	0.102231603112011	0.498822720187613	-4.00391583269664	1.57345895020983	-3.29008684572525
14119	Fbn2	0.102235891842381	0.498822720187613	-Inf	4.95676773768226	-3.29002632432023
13854	Epn1	0.102251920322303	0.498822720187613	-1.04622432807925	122.23971767349	-3.28980015721229
233186	Siglecf	0.10229110070912	0.498822720187613	-3.52059126050266	8.26936184095763	-3.28924745832119
22017	Tpmt	0.102294891249647	0.498822720187613	2.03092092970525	21.6664297472872	-3.28919399821898
50933	Uchl3	0.102438954214265	0.499329785037374	-1.46798550847876	27.0303837920034	-3.28716366504703
217082	Hlf	0.102513569285659	0.499346786682845	-Inf	2.00092857540843	-3.28611320910344
67006	Cisd2	0.102522600556603	0.499346786682845	0.826643196124826	564.298803620305	-3.28598611572453
27224	Tceb3	0.10272254555317	0.499933099055264	1.00838505774937	401.531411296962	-3.28317523564559
382018	Unc13a	0.102723230883817	0.499933099055264	-5.22197779264631	3.53432326767265	-3.28316561049639
235132	Zbtb44	0.102867883255514	0.500441607762768	-0.944554668473915	435.92568316402	-3.28113547125997
103573	Xpo1	0.102946263588454	0.5006274387387	0.9528500797025	396.493224662879	-3.28003662625989
73834	Atp6v1d	0.103154880575825	0.50144621814054	0.912559065109467	960.639331318152	-3.27711601369237
228662	Btbd3	0.103237492553932	0.501652074777472	-1.53089321694169	15.0366552670642	-3.275961088288
229700	Rbm15	0.103420884948886	0.502347292623068	0.829551551967036	170.651665953459	-3.27340054008873
229603	Otud7b	0.103689107996635	0.503247657332321	1.14670779423985	212.285776823274	-3.26966374041356
218544	Sgtb	0.103710084661418	0.503247657332321	4.48309795899532	7.49224998238248	-3.26937190774081
227334	Usp40	0.103727424675287	0.503247657332321	1.23167269015137	203.876241079742	-3.26913071363704
320183	Msrb3	0.103935191259243	0.50405938026427	-2.41635086659932	16.7069581624969	-3.2662438779974
13401	Dmwd	0.104052492903215	0.504289511964477	1.47484863392923	83.3681856733663	-3.26461656512384
171508	Creld1	0.104063595413811	0.504289511964477	-2.72317437987141	7.42502279576304	-3.26446263625537
52552	Parp8	0.104173002451661	0.504484581224635	1.13699497621145	118.147846046277	-3.26294665868863
207839	Galnt6	0.104203018881387	0.504484581224635	0.886979120664281	492.057748875499	-3.26253102012971
110173	Manba	0.104272543849284	0.504484581224635	-0.994641029779548	60.500892580985	-3.26156876509313
14168	Fgf13	0.10430223173401	0.504484581224635	-2.06017658247931	10.324362661989	-3.26115806764193
69554	Klhdc2	0.104306307186344	0.504484581224635	-1.19071727005308	36.3945492252081	-3.26110169761122
17219	Mcm6	0.104373284655667	0.504612632334092	-2.1319133857695	52.2670262621333	-3.26017560737586
17937	Nab2	0.104437904098168	0.504729188192038	-1.0709389355486	727.086774145497	-3.25928268441734
68891	Cd177	0.104502462255017	0.504845357594128	-Inf	2.96648364175585	-3.25839115984194
207592	Tbc1d16	0.104589242717217	0.505068750005351	-2.83392817278505	6.38761082044597	-3.25719362070793
14247	Fli1	0.104645959564263	0.50514684626546	-0.711823068996146	2158.77140092577	-3.25641148543547
66181	Nop10	0.104688162006942	0.505154845253482	-0.863872269023517	792.660660434661	-3.25582978136225
72776	Sass6	0.104939748041054	0.506029942802648	1.23160855305688	110.655601365986	-3.25236686368154
57444	Isg20	0.104950748230359	0.506029942802648	6.38541159914986	461.172152280702	-3.25221564274629
12874	Cpd	0.105002746624535	0.506084804717633	0.881938742066293	1430.97033856587	-3.25150102899815
67725	Nudt13	0.105147593008167	0.506258184485734	1.65115880873311	122.561953381791	-3.24951226997151
67337	Cstf1	0.105165774610083	0.506258184485734	-1.07765768291414	109.751382634614	-3.24926282784349
228994	Ythdf1	0.105194811314124	0.506258184485734	0.923545672949117	707.595537375957	-3.24886454877419
70686	Dusp16	0.10520125528803	0.506258184485734	2.08165102890853	28.9398673926484	-3.24877617555172
21417	Zeb1	0.10528906075412	0.506485099589027	1.5140425462119	48.1091618449008	-3.2475725428125
20338	Sel1l	0.105404618159547	0.506845286626706	-0.857634297924073	340.617766754367	-3.24599001681244
19365	Rad52	0.10547189898593	0.50697314408399	4.18120765488737	8.15810485190391	-3.24506942385902
264064	Cdk8	0.1055321428921	0.506983960777554	1.30020297117842	142.705026011564	-3.24424561417023
18824	Plp2	0.10559035964126	0.506983960777554	-1.08166410757871	109.935454653771	-3.24344997167423
12313	Calm1	0.105596225878301	0.506983960777554	0.769174550787913	12929.4481539535	-3.24336982272851
68592	Syf2	0.105680992782438	0.507195488858396	0.871242059034371	907.849988651912	-3.24221217024172
54638	Ccdc22	0.105758872270381	0.507373811943272	-1.22065170678311	41.2096066088503	-3.24114939661485
13629	Eef2	0.105916926413276	0.50792387488619	-1.22749285423934	64.5122468176061	-3.23899493236394
72635	Lins	0.105955064678482	0.50792387488619	-1.67692850571899	11.0251655589115	-3.23847554434676
28240	Trpm2	0.106097734329341	0.508298720713448	1.69184163319746	24.4790519619173	-3.23653424642662
59040	Rhot1	0.106114854528909	0.508298720713448	1.31385947252263	76.5001713690779	-3.23630146827522
14701	Gng12	0.106271149395011	0.508851748774959	0.812400939101067	345.996554719296	-3.23417810925174
70239	Gtf3c5	0.106512283160543	0.509810424854862	2.34687264879411	17.5516784049686	-3.23090828102813
67397	Erp29	0.106579759080051	0.509937487856511	-0.748936355987928	942.993544003229	-3.22999461783655
60595	Actn4	0.106696395685172	0.509979554234408	-0.821869394901755	1799.77250968745	-3.22841665363558
22190	Ubc	0.106696750187247	0.509979554234408	0.779931563162995	4570.55079618416	-3.22841186024465
105278	Cdk20	0.106711349056032	0.509979554234408	-1.48694377634981	48.0492400279532	-3.22821447583697
320484	Rasal3	0.107011892035818	0.510948865187816	-2.1181863571693	18.4237478525984	-3.22415696529107
12237	Bub3	0.107014434920476	0.510948865187816	-0.835052297405047	659.77157217023	-3.224122683461
